ID	ACO1_A	ACO1_B	ACO2_A	ACO2_B	ACO3_A	ACO3_B	ACO4_A	ACO4_B	ACO5_A	ACO5_B	AO1_A	AO1_B	AO2_A	AO2_B	AO3_A	AO3_B	AO4_A	AO4_B	AO5_A	AO5_B	B1_A	B1_B	B2_A	B2_B	B3_A	B3_B	B4_A	B4_B	B5_A	B5_B	BO1_A	BO1_B	BO2_A	BO2_B	BO3_A	BO3_B	BO4_A	BO4_B	BO5_A	BO5_B	CO1_A	CO1_B	CO2_A	CO2_B	CO3_A	CO3_B	CO4_A	CO4_B	CO5_A	CO5_B	nCO1_A	nCO1_B	nCO2_A	nCO2_B	nCO3_A	nCO3_B	nCO4_A	nCO4_B	nCO5_A	nCO5_B
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	0.0	0.0	0.0	0.0	0.0	11.45825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64226	2.80606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella|s__Morganella_morganii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64226	2.80606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella|s__Morganella_morganii|t__GCF_000286435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64226	2.80606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85292	0.25289	2.79377	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.38075	0.0	0.0	0.0	1.14779	1.16975	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.42153	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85292	0.25289	2.79377	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.38075	0.0	0.0	0.0	1.14779	1.16975	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.42153	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85292	0.25289	2.79377	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.38075	0.0	0.0	0.0	1.14779	1.16975	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.42153	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85292	0.25289	2.79377	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.38075	0.0	0.0	0.0	1.14779	1.16975	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.42153	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85292	0.25289	2.79377	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.38075	0.0	0.0	0.0	1.14779	1.16975	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.42153	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma|s__Naumovozyma_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65236	0.25289	0.7383	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.32599	0.0	0.0	0.0	1.14779	0.50299	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.35725	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65236	0.25289	0.7383	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.32599	0.0	0.0	0.0	1.14779	0.50299	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.35725	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__GCA_000146045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65236	0.25289	0.7383	0.06178	0.0599	0.0	0.23169	0.0	0.39137	0.0	0.32599	0.0	0.0	0.0	1.14779	0.50299	1.67964	1.07761	0.0	0.0	0.0	0.0	0.49032	0.20057	0.35725	0.04956	0.0996	0.0	0.0	0.0	0.4296	0.13925	0.39641	0.0	0.0	0.0	0.20115	0.0	0.09187	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomycetaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06583	0.0	2.05548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
